PATH	DURATION	GROUNDTRUTH	GREEDY
/home/hemanth/GIT_Projects/RA/data/IISc_RESPIN_test_te/D1/90050/IISc_RESPIN_te_D1_90050_522412_M_AGRI_900641_90000060.wav	6.98	ఒక వారం నుంచి భోజనం తర్వాత బొప్పాస్కాయ తింటన్నాను , తిన్న తిండి చక్కగా అరుగుతంది	అక్కా వాడనం చి గోధుమ తర్వాత బొప్పాస్తాది రుణ పెళ్ళాడు చక్కగా అరకు తింటుంది
/home/hemanth/GIT_Projects/RA/data/IISc_RESPIN_test_te/D1/90088/IISc_RESPIN_te_D1_90088_522001_M_BANK_902319_90000773.wav	8.09	రెయిన్వాటర్ హార్వెస్టింగ్ సిస్టమ్ అనేది పెద్ద స్థాయిలో జరిపే వ్యవసాయానికి ఉపయోగపడదు	నేను వాటర్ హార్వెస్టింగ్ సిస్టమ్ అనేది రెండు ప్రస్తుత ఏర్పిడి ఒక ఏడు రూపొందింపు
/home/hemanth/GIT_Projects/RA/data/IISc_RESPIN_test_te/D1/90068/IISc_RESPIN_te_D1_90068_524101_M_BANK_919470_90001105.wav	12.14	పెళ్ళైన తర్వాత నాకు మా ఆయన ఇచ్చిన మొదటి వస్తువే యీ ముత్యాల హారం	పెళ్ళి అయినా తరవాత నాయిన ఇచ్చిన మొగ్గకి వచ్చింది ఈ మచ్చల ఈ ముత్యాలు
/home/hemanth/GIT_Projects/RA/data/IISc_RESPIN_test_te/D1/90174/IISc_RESPIN_te_D1_90174_522412_F_AGRI_903217_90001635.wav	8.85	బ్యేంకు అకౌంట్లు ఆస్తులు , బాధ్యతలు , ఈక్విటీ , రాబడి , ఖర్చులు అనే వర్గాలుగా వర్గీకరించబడతయ్	అయితే అంతా పోన్ల ఆస్తులు , మార్కెట్లో ఈ పెడితే అమెరికా అనే వర్గల్ మరియు పెంచితే పెంచి పడతాయి
/home/hemanth/GIT_Projects/RA/data/IISc_RESPIN_test_te/D1/90091/IISc_RESPIN_te_D1_90091_522001_M_AGRI_901697_90002564.wav	6.01	చిలకడదుంపని అన్ని రకాల నేలల్లోనూ సాగు జేత్తారు , ముక్కెంగా సరిపడా నీళ్లుంటే చాలు	సులభతరం గదే అని రకాల నేలల్లో మొక్కల సేత్తారు , మాత్రంగా సరిపడా , సరిపండు నేలంటే సారూ
/home/hemanth/GIT_Projects/RA/data/IISc_RESPIN_test_te/D1/90091/IISc_RESPIN_te_D1_90091_522001_M_BANK_919474_90003297.wav	5.43	కేవలం నెలవారీ వడ్డీరేటు అనేది క్రెడిట్ కార్డ్ పై వర్తించబడుతుంది	ఏవైనా ఈ రవాణా వడ్డీ ని ఎట్ల అనేవి క్రెడిట్ కార్డు పడి పద్ధతులు పాటు అవుతాయి ?
/home/hemanth/GIT_Projects/RA/data/IISc_RESPIN_test_te/D1/90091/IISc_RESPIN_te_D1_90091_522001_M_BANK_902633_90003381.wav	8.36	ఎంపీల్యాడ్స్ నిధులను ఏ ప్రాజెక్ట్ కోసం అమలు చెయ్యాలో కూడా కొన్ని నియమాలున్నాయి	ఇంటి యాడెక్కుకూసా , ఎట్టా , అది పువ్వులు , జీలాలు కూడా కొన్ని నియమా
/home/hemanth/GIT_Projects/RA/data/IISc_RESPIN_test_te/D1/90091/IISc_RESPIN_te_D1_90091_522001_M_AGRI_900707_90003390.wav	7.39	అగ్రిబజార్ వల్ల కలిగే ప్రయోజనమేమిటీ ?	అగ్రి బజార్ వల్ల తెలియక పరిధిలో జనప ఏమిటి ?
/home/hemanth/GIT_Projects/RA/data/IISc_RESPIN_test_te/D1/90091/IISc_RESPIN_te_D1_90091_522001_M_BANK_902577_90003464.wav	7.24	ఆచరణాత్మక స్థిరమైన దిగుబడిని మించిన రేటుతో తవ్వితే అతిగా దోపిడీ జరుగుతుంది	ఆ చెరువుల ను కత్తిరింగు మూలధనం , చిన్నా ఎట్టా విక్రమచ్చినా , రొట్టెల పెంపకం మొదలగున పడం
/home/hemanth/GIT_Projects/RA/data/IISc_RESPIN_test_te/D1/90091/IISc_RESPIN_te_D1_90091_522001_M_BANK_900401_90003488.wav	7.63	పన్ను చెల్లింపుదారులు తమ ఆదాయ వనరులలో ఒకదాని నుండి అయినా వారి పన్నులను చెల్లిస్తారు	ఎస్ రుచిలు దుడుతారు , ఆవనోల్లు పుదాని పుదాను పురుగులు చూస్తా
/home/hemanth/GIT_Projects/RA/data/IISc_RESPIN_test_te/D1/90091/IISc_RESPIN_te_D1_90091_522001_M_AGRI_903432_90003491.wav	8.22	రైతులు తమ వనరులను కొన్ని కార్యకలాపాలలో సేకరించే సహకార సంస్థలు మన దేశంలో ఉన్నాయి	రైతులు తమ వనరులను కొన్ని కాల పాలలో సేకరించే సహజ సంస్తలు మన దేశంలో ఉన్నాయి
/home/hemanth/GIT_Projects/RA/data/IISc_RESPIN_test_te/D1/90143/IISc_RESPIN_te_D1_90143_522004_M_AGRI_900655_90003640.wav	11.92	నా యొక్క బ్యాంక్ ఖాతాలో బ్యాలెన్స్ ఎంత ఉందో చెప్పగలరా ?	నా యొక్క బ్యాంకు ఖాతాలో బ్యాలెన్స్ పెంచగలరా ?
/home/hemanth/GIT_Projects/RA/data/IISc_RESPIN_test_te/D1/90143/IISc_RESPIN_te_D1_90143_522004_M_AGRI_900677_90003649.wav	6.93	మన దేశం వ్యవసాయ ఆధారిత దేశం కాబట్టి ఎక్కువశాతం పెట్టుబడుల్ని సేద్దెం చెయ్యడానికే వాడతారు	మన దేశం దృవహారాల ఆదా దేశం కాబట్టి ఎక్కువ శాతం పెట్టుబడులు సేద్దాంరా
/home/hemanth/GIT_Projects/RA/data/IISc_RESPIN_test_te/D1/90068/IISc_RESPIN_te_D1_90068_524101_M_BANK_900032_90004020.wav	11.44	రొయ్యల చెరువులెక్కువగా గోదారి జిల్లాల్లోనే ఉంటాయి , మనకెల్లి అంతగాని ఉండవు	ప్రొవిడెంట్ ఉడుకు గొర్రె కూడా బొచ్చిందా లోన్ ఇంత అంటదే మనకి అంటాదా వుంటాది
/home/hemanth/GIT_Projects/RA/data/IISc_RESPIN_test_te/D1/90091/IISc_RESPIN_te_D1_90091_522001_M_BANK_904566_90004130.wav	4.68	సాధారణ వడ్డీ అనేది మనం తీసుకున్న మొత్తంపై లేదా మిగిలిన భాగంపై మాత్రమే లెక్కించబడతది	సాధారణ వడ్డీ అనేది మన దేశ కొన్ని మిలియన్ల బాగం పై మెయిల్ ను బాగుంటాది
/home/hemanth/GIT_Projects/RA/data/IISc_RESPIN_test_te/D1/90091/IISc_RESPIN_te_D1_90091_522001_M_AGRI_904031_90004153.wav	3.41	ఆచరణాత్మక స్థిరమైన దిగుబడిని మించిన రేటుతో తవ్వితే అతిగా దోపిడీ జరుగుతుంది	ఆ చెరువు ఆక్వామైనా దిగుబడిని గుడివిగా తగిలితే అతిగా దుపిగా దొరకబెడితే అప్పుడే తెరువులో వాడవచ్చు
